title,author,url
End-to-End QoS “Smart Queue” Management Algorithms and Traffic Prioritization Mechanisms for Narrow-Band Internet of Things Services in 4G/5G Networks,Mykola Beshley   Natalia Kryvinska   Marian Seliuchenko   Halyna Beshley   Elhadi M. Shakshuki   Ansar-Ul-Haque Yasar,/pmc/articles/PMC7219668/
An IoT Platform Based on Microservices and Serverless Paradigms for Smart Farming Purposes,Sergio Trilles   Alberto González-Pérez   Joaquín Huerta,/pmc/articles/PMC7219504/
Detecting IoT User Behavior and Sensitive Information in Encrypted IoT-App Traffic,Alanoud Subahi   George Theodorakopoulos,/pmc/articles/PMC6864459/
IoT Elements   Layered Architectures and Security Issues: A Comprehensive Survey,Muhammad Burhan   Rana Asif Rehman   Bilal Khan   Byung-Seo Kim,/pmc/articles/PMC6165453/
The Security of Big Data in Fog-Enabled IoT Applications Including Blockchain: A Survey,Noshina Tariq   Muhammad Asim   Feras Al-Obeidat   Muhammad Zubair Farooqi   Thar Baker   Mohammad Hammoudeh   Ibrahim Ghafir,/pmc/articles/PMC6515199/
A Panorama of Cloud Platforms for IoT Applications Across Industries,Sami Yangui,/pmc/articles/PMC7249207/
LoRaFarM: A LoRaWAN-Based Smart Farming Modular IoT Architecture,Gaia Codeluppi   Antonio Cilfone   Luca Davoli   Gianluigi Ferrari,/pmc/articles/PMC7180486/
Enabling the Orchestration of IoT Slices through Edge and Cloud Microservice Platforms,Juan-Manuel Fernandez   Ivan Vidal   Francisco Valera,/pmc/articles/PMC6651043/
A Novel Spread Spectrum and Clustering Mixed Approach with Network Coding for Enhanced Narrowband IoT (NB-IoT) Scalability,Emmanuel Migabo   Karim Djouani   Anish Kurien,/pmc/articles/PMC7570580/
A Survey of IoT Security Based on a Layered Architecture of Sensing and Data Analysis,Hichem Mrabet   Sana Belguith   Adeeb Alhomoud   Abderrazak Jemai,/pmc/articles/PMC7374330/
The Art of Designing Remote IoT Devices—Technologies and Strategies for a Long Battery Life,Gilles Callebaut   Guus Leenders   Jarne Van Mulders   Geoffrey Ottoy   Lieven De Strycker   Liesbet Van der Perre,/pmc/articles/PMC7866251/
A Comprehensive Survey on Machine Learning-Based Big Data Analytics for IoT-Enabled Smart Healthcare System,Wei Li   Yuanbo Chai   Fazlullah Khan   Syed Rooh Ullah Jan   Sahil Verma   Varun G. Menon    Kavita   Xingwang Li,/pmc/articles/PMC7786888/
Enabling Virtual AAA Management in SDN-Based IoT Networks ,Alejandro Molina Zarca   Dan Garcia-Carrillo   Jorge Bernal Bernabe   Jordi Ortiz   Rafael Marin-Perez   Antonio Skarmeta,/pmc/articles/PMC6359622/
Secure Authentication and Credential Establishment in Narrowband IoT and 5G,Jesus Sanchez-Gomez   Dan Garcia-Carrillo   Rafael Marin-Perez   Antonio F. Skarmeta,/pmc/articles/PMC7038755/
Physical Unclonable Function and Hashing Are All You Need to Mutually Authenticate IoT Devices,Ahmed Mostafa   Suk Jin Lee   Yesem Kurt Peker,/pmc/articles/PMC7472131/
Architecting and Deploying IoT Smart Applications: A Performance–Oriented Approach,Ivan Zyrianoff   Alexandre Heideker   Dener Silva   João Kleinschmidt   Juha-Pekka Soininen   Tullio Salmon Cinotti   Carlos Kamienski,/pmc/articles/PMC6983202/
An Interoperable Access Control Framework for Diverse IoT Platforms Based on OAuth and Role ,Se-Ra Oh   Young-Gab Kim   Sanghyun Cho,/pmc/articles/PMC6514541/
5G support for Industrial IoT Applications— Challenges   Solutions   and Research gaps,Pal Varga   Jozsef Peto   Attila Franko   David Balla   David Haja   Ferenc Janky   Gabor Soos   Daniel Ficzere   Markosz Maliosz   Laszlo Toka,/pmc/articles/PMC7038716/
Security Requirements for the Internet of Things: A Systematic Approach,Shantanu Pal   Michael Hitchens   Tahiry Rabehaja   Subhas Mukhopadhyay,/pmc/articles/PMC7589427/
Dynamic Inference Approach Based on Rules Engine in Intelligent Edge Computing for Building Environment Control,Wenquan Jin   Rongxu Xu   Sunhwan Lim   Dong-Hwan Park   Chanwon Park   Dohyeun Kim,/pmc/articles/PMC7831074/
P4UIoT: Pay-Per-Piece Patch Update Delivery for IoT Using Gradual Release,Nachiket Tapas   Yechiav Yitzchak   Francesco Longo   Antonio Puliafito   Asaf Shabtai,/pmc/articles/PMC7180605/
The Use of IoT Technology in Smart Cities and Smart Villages: Similarities   Differences   and Future Prospects,Nina Cvar   Jure Trilar   Andrej Kos   Mojca Volk   Emilija Stojmenova Duh,/pmc/articles/PMC7412333/
A Resource Service Model in the Industrial IoT System Based on Transparent Computing,Weimin Li   Bin Wang   Jinfang Sheng   Ke Dong   Zitong Li   Yixiang Hu,/pmc/articles/PMC5948589/
Creating the Internet of Augmented Things: An Open-Source Framework to Make IoT Devices and Augmented and Mixed Reality Systems Talk to Each Other ,Óscar Blanco-Novoa   Paula Fraga-Lamas   Miguel A. Vilar-Montesinos   Tiago M. Fernández-Caramés,/pmc/articles/PMC7309179/
Design and Implementation of an Integrated IoT Blockchain Platform for Sensing Data Integrity,Lei Hang   Do-Hyeun Kim,/pmc/articles/PMC6567376/
Device Identification Interoperability in Heterogeneous IoT Platforms ,Jahoon Koo   Se-Ra Oh   Young-Gab Kim,/pmc/articles/PMC6471944/
Enabling Secure XMPP Communications in Federated IoT Clouds Through XEP 0027 and SAML/SASL SSO,Antonio Celesti   Maria Fazio   Massimo Villari,/pmc/articles/PMC5335972/
An Exploration and Confirmation of the Factors Influencing Adoption of IoT-Based Wearable Fitness Trackers,Yu-Sheng Kao   Kazumitsu Nawata   Chi-Yo Huang,/pmc/articles/PMC6765920/
LOADng-IoT: An Enhanced Routing Protocol for Internet of Things Applications over Low Power Networks,José V. V. Sobral   Joel J. P. C. Rodrigues   Ricardo A. L. Rabêlo   Kashif Saleem   Vasco Furtado,/pmc/articles/PMC6339092/
Analysis of factors affecting IoT-based smart hospital design,Banu Çalış Uslu   Ertuğ Okay   Erkan Dursun,/pmc/articles/PMC7689393/
Breaking Vendors and City Locks through a Semantic-enabled Global Interoperable Internet-of-Things System: A Smart Parking Case,Pablo Sotres   Jorge Lanza   Luis Sánchez   Juan Ramón Santana   Carmen López   Luis Muñoz,/pmc/articles/PMC6359184/
A Survey of Internet of Things (IoT) Authentication Schemes ,Mohammed El-hajj   Ahmad Fadlallah   Maroun Chamoun   Ahmed Serhrouchni,/pmc/articles/PMC6427355/
Smart Buildings IoT Networks Accuracy Evolution Prediction to Improve Their Reliability Using a Lotka–Volterra Ecosystem Model,Roberto Casado-Vara   Angel Canal-Alonso   Angel Martin-del Rey   Fernando De la Prieta   Javier Prieto,/pmc/articles/PMC6864680/
Towards a Safer Internet of Things—A Survey of IoT Vulnerability Data Sources,Marcin Rytel   Anna Felkner   Marek Janiszewski,/pmc/articles/PMC7659474/
Multi-Layer IoT Security Framework for Ambient Intelligence Environments,Ion Bica   Bogdan-Cosmin Chifor   Ștefan-Ciprian Arseni   Ioana Matei,/pmc/articles/PMC6767328/
Semantic Interoperability for IoT Platforms in Support of Decision Making: An Experiment on Early Wildfire Detection,Nikos Kalatzis   George Routis   Yiorgos Marinellis   Marios Avgeris   Ioanna Roussaki   Symeon Papavassiliou   Miltiades Anagnostou,/pmc/articles/PMC6387244/
Non-Volatile Memory Forensic Analysis in Windows 10 IoT Core,Juan Manuel Castelo Gómez   José Roldán Gómez   Javier Carrillo Mondéjar   José Luis Martínez Martínez,/pmc/articles/PMC7514486/
LDAKM-EIoT: Lightweight Device Authentication and Key Management Mechanism for Edge-Based IoT Deployment,Mohammad Wazid   Ashok Kumar Das   Sachin Shetty   Joel J. P. C. Rodrigues   Youngho Park,/pmc/articles/PMC6961035/
A WoT Platform for Supporting Full-Cycle IoT Solutions from Edge to Cloud Infrastructures: A Practical Case,Rafael Pastor-Vargas   Llanos Tobarra   Antonio Robles-Gómez   Sergio Martin   Roberto Hernández   Jesús Cano,/pmc/articles/PMC7374425/
A Model for the Remote Deployment   Update   and Safe Recovery for Commercial Sensor-Based IoT Systems,Alexandru Radovici   Ioana Culic   Daniel Rosner   Flavia Oprea,/pmc/articles/PMC7472196/
Reusable Mesh Signature Scheme for Protecting Identity Privacy of IoT Devices,Ke Gu   WenBin Zhang   Se-Jung Lim   Pradip Kumar Sharma   Zafer Al-Makhadmeh   Amr Tolba,/pmc/articles/PMC7038448/
An End-To-End LwM2M-Based Communication Architecture for Multimodal NB-IoT/BLE Devices,Subho Shankar Basu   Jetmir Haxhibeqiri   Mathias Baert   Bart Moons   Abdulkadir Karaagac   Pieter Crombez   Pieterjan Camerlynck   Jeroen Hoebeke,/pmc/articles/PMC7218874/
IoT-Stream: A Lightweight Ontology for Internet of Things Data Streams and Its Use with Data Analytics and Event Detection Services ,Tarek Elsaleh   Shirin Enshaeifar   Roonak Rezvani   Sahr Thomas Acton   Valentinas Janeiko   Maria Bermudez-Edo,/pmc/articles/PMC7071512/
Federation of Internet of Things Testbeds for the Realization of a Semantically-Enabled Multi-Domain Data Marketplace,Luis Sánchez   Jorge Lanza   Juan Ramón Santana   Rachit Agarwal   Pierre Guillaume Raverdy   Tarek Elsaleh   Yasmin Fathy   SeungMyeong Jeong   Aris Dadoukis   Thanasis Korakis   Stratos Keranidis   Philip O’Brien   Jerry Horgan   Antonio Sacchetti   Giuseppe Mastandrea   Alexandros Fragkiadakis   Pavlos Charalampidis   Nicolas Seydoux   Christelle Ecrepont   Mengxuan Zhao,/pmc/articles/PMC6211132/
Out of Control – Privacy Calculus and the Effect of Perceived Control and Moral Considerations on the Usage of IoT Healthcare Devices,Evgenia Princi   Nicole C. Krämer,/pmc/articles/PMC7686240/
An Interoperable Component-Based Architecture for Data-Driven IoT System,Sin Kit Lo   Chee Sun Liew   Kok Soon Tey   Saad Mekhilef,/pmc/articles/PMC6832394/
A Taxonomy of DDoS Attack Mitigation Approaches Featured by SDN Technologies in IoT Scenarios,Felipe S. Dantas Silva   Esau Silva   Emidio P. Neto   Marcilio Lemos   Augusto J. Venancio Neto   Flavio Esposito,/pmc/articles/PMC7309081/
Security Risk Measurement for Information Leakage in IoT-Based Smart Homes from a Situational Awareness Perspective,Mookyu Park   Haengrok Oh   Kyungho Lee,/pmc/articles/PMC6539189/
Sii-Mobility: An IoT/IoE Architecture to Enhance Smart City Mobility and Transportation Services,Claudio Badii   Pierfrancesco Bellini   Angelo Difino   Paolo Nesi,/pmc/articles/PMC6338971/
An Overview of IoT Sensor Data Processing   Fusion   and Analysis Techniques,Rajalakshmi Krishnamurthi   Adarsh Kumar   Dhanalekshmi Gopinathan   Anand Nayyar   Basit Qureshi,/pmc/articles/PMC7663157/
Medium Access Control Protocols for the Internet of Things Based on Unmanned Aerial Vehicles: A Comparative Survey,Shreya Khisa   Sangman Moh,/pmc/articles/PMC7583930/
An Energy-Efficient and Adaptive Channel Coding Approach for Narrowband Internet of Things (NB-IoT) Systems,Emmanuel Migabo   Karim Djouani   Anish Kurien,/pmc/articles/PMC7348875/
Exploring the Adoption of Precision Agriculture for Irrigation in the Context of Agriculture 4.0: The Key Role of Internet of Things,Sergio Monteleone   Edmilson Alves de Moraes   Brenno Tondato de Faria   Plinio Thomaz Aquino Junior   Rodrigo Filev Maia   André Torre Neto   Attilio Toscano,/pmc/articles/PMC7763172/
A Systematic Analysis of Narrowband IoT Quality of Service,Andreas Philipp Matz   Jose-Angel Fernandez-Prieto   Joaquin Cañada-Bago   Ulrich Birkel,/pmc/articles/PMC7146203/
An Integral Pedagogical Strategy for Teaching and Learning IoT Cybersecurity,Julia Sánchez   Adrià Mallorquí   Alan Briones   Agustín Zaballos   Guiomar Corral,/pmc/articles/PMC7411857/
A Semantic-Enabled Platform for Realizing an Interoperable Web of Things,Jorge Lanza   Luis Sánchez   David Gómez   Juan Ramón Santana   Pablo Sotres,/pmc/articles/PMC6412853/
Data Gathering and Energy Transfer Dilemma in UAV-Assisted Flying Access Network for IoT,Sara Arabi   Essaid Sabir   Halima Elbiaze   Mohamed Sadik,/pmc/articles/PMC5982466/
A secure remote health monitoring model for early disease diagnosis in cloud-based IoT environment,Samira Akhbarifar   Hamid Haj Seyyed Javadi   Amir Masoud Rahmani   Mehdi Hosseinzadeh,/pmc/articles/PMC7667219/
AR Enabled IoT for a Smart and Interactive Environment: A Survey and Future Directions,Dongsik Jo   Gerard Jounghyun Kim,/pmc/articles/PMC6806197/
A Practical Evaluation of a High-Security Energy-Efficient Gateway for IoT Fog Computing Applications,Manuel Suárez-Albela   Tiago M. Fernández-Caramés   Paula Fraga-Lamas   Luis Castedo,/pmc/articles/PMC5620735/
IoT and UAV Integration in 5G Hybrid Terrestrial-Satellite Networks,Mario Marchese   Aya Moheddine   Fabio Patrone,/pmc/articles/PMC6749430/
Embracing the Future Internet of Things ,Flavio Cirillo   Fang-Jing Wu   Gürkan Solmaz   Ernö Kovacs,/pmc/articles/PMC6359451/
Design and Implementation of Cloud-Centric Configuration Repository for DIY IoT Applications,Shabir Ahmad   Lei Hang   Do Hyeun Kim,/pmc/articles/PMC5856003/
Microservices in Web Objects Enabled IoT Environment for Enhancing Reusability,Muhammad Aslam Jarwar   Muhammad Golam Kibria   Sajjad Ali   Ilyoung Chong,/pmc/articles/PMC5856163/
Internet of things (IoT) based coordination system in Agri-food supply chain: development of an efficient framework using DEMATEL-ISM,Sanjeev Yadav   Sunil Luthra   Dixit Garg,/pmc/articles/PMC7500993/
A Cross-Chain Solution to Integrating Multiple Blockchains for IoT Data Management,Yiming Jiang   Chenxu Wang   Yawei Wang   Lang Gao,/pmc/articles/PMC6539637/
Semantic-Aware Security Orchestration in SDN/NFV-Enabled IoT Systems,Alejandro Molina Zarca   Miloud Bagaa   Jorge Bernal Bernabe   Tarik Taleb   Antonio F. Skarmeta,/pmc/articles/PMC7374451/
A Comprehensive Survey about Thermal Comfort under the IoT Paradigm: Is Crowdsensing the New Horizon?,Valentina Tomat   Alfonso P. Ramallo-González   Antonio F. Skarmeta Gómez,/pmc/articles/PMC7472355/
A Joint Low-Power Cell Search and Frequency Tracking Scheme in NB-IoT Systems for Green Internet of Things,Yu Li   Shuo Chen   Wenqiang Ye   Fujiang Lin,/pmc/articles/PMC6210314/
Named-Entity-Recognition-Based Automated System for Diagnosing Cybersecurity Situations in IoT Networks,Tiberiu-Marian Georgescu   Bogdan Iancu   Madalina Zurini,/pmc/articles/PMC6695928/
Hyperledger Fabric Blockchain for Securing the Edge Internet of Things,Houshyar Honar Pajooh   Mohammad Rashid   Fakhrul Alam   Serge Demidenko,/pmc/articles/PMC7825674/
An Effective Multifactor Authentication Mechanism Based on Combiners of Hash Function over Internet of Things,Adel Ali Ahmed   Waleed Ali Ahmed,/pmc/articles/PMC6749530/
Enhancing the Internet of Things with Knowledge-Driven Software-Defined Networking Technology: Future Perspectives,Yuhong Li   Xiang Su   Aaron Yi Ding   Anders Lindgren   Xiaoli Liu   Christian Prehofer   Jukka Riekki   Rahim Rahmani   Sasu Tarkoma   Pan Hui,/pmc/articles/PMC7349240/
IoT Adaptive Dynamic Blockchain Networking Method Based on Discrete Heartbeat Signals,Xueyang Hu   Yili Zheng   Yu Su   Rui Guo,/pmc/articles/PMC7697744/
A Design Approach to IoT Endpoint Security for Production Machinery Monitoring,Stefano Tedeschi   Christos Emmanouilidis   Jörn Mehnen   Rajkumar Roy,/pmc/articles/PMC6567266/
IoT Security Configurability with Security-by-Contract,Alberto Giaretta   Nicola Dragoni   Fabio Massacci,/pmc/articles/PMC6806331/
Smart Containers Schedulers for Microservices Provision in Cloud-Fog-IoT Networks. Challenges and Opportunities,Rocío Pérez de Prado   Sebastián García-Galán   José Enrique Muñoz-Expósito   Adam Marchewka   Nicolás Ruiz-Reyes,/pmc/articles/PMC7146145/
Internet of Things (IoT) Operating Systems Management: Opportunities   Challenges   and Solution,Yousaf Bin Zikria   Sung Won Kim   Oliver Hahm   Muhammad Khalil Afzal   Mohammed Y. Aalsalem,/pmc/articles/PMC6514957/
Matching IoT Devices to the Fog Service Providers: A Mechanism Design Perspective,Anjan Bandyopadhyay   Vikash Kumar Singh   Sajal Mukhopadhyay   Ujjwal Rai   Fatos Xhafa   Paul Krause,/pmc/articles/PMC7730117/
Development of Virtual Resource Based IoT Proxy for Bridging Heterogeneous Web Services in IoT Networks,Wenquan Jin   DoHyeun Kim,/pmc/articles/PMC6021941/
Access Control Mechanism for IoT Environments Based on Modelling Communication Procedures as Resources,Luis Cruz-Piris   Diego Rivera   Ivan Marsa-Maestre   Enrique de la Hoz   Juan R. Velasco,/pmc/articles/PMC5876929/
A Cloud-based Middleware for Self-Adaptive IoT-Collaboration Services,Soojin Park   Sungyong Park,/pmc/articles/PMC6832963/
Future Smart Connected Communities to Fight COVID-19 Outbreak,Deepti Gupta   Smriti Bhatt   Maanak Gupta   Ali Saman Tosun,/pmc/articles/PMC7720698/
Hy-Bridge: A Hybrid Blockchain for Privacy-Preserving and Trustful Energy Transactions in Internet-of-Things Platforms,Mahdi Daghmehchi Firoozjaei   Ali Ghorbani   Hyoungshick Kim   JaeSeung Song,/pmc/articles/PMC7038981/
A Multi-Protocol IoT Platform Based on Open-Source Frameworks,Charilaos Akasiadis   Vassilis Pitsilis   Constantine D. Spyropoulos,/pmc/articles/PMC6806188/
A oneM2M-Based Query Engine for Internet of Things (IoT) Data Streams,Putu Wiramaswara Widya   Yoga Yustiawan   Joonho Kwon,/pmc/articles/PMC6210296/
Networking-Aware IoT Application Development,Arne Bröring   Jan Seeger   Manos Papoutsakis   Konstantinos Fysarakis   Ahmad Caracalli,/pmc/articles/PMC7038961/
Location Privacy Protection in Distributed IoT Environments Based on Dynamic Sensor Node Clustering,Konstantinos Dimitriou   Ioanna Roussaki,/pmc/articles/PMC6651351/
Management Platforms and Protocols for Internet of Things: A Survey,Jonathan de C. Silva   Joel J. P. C. Rodrigues   Jalal Al-Muhtadi   Ricardo A. L. Rabêlo   Vasco Furtado,/pmc/articles/PMC6387169/
Designing Efficient Sinkhole Attack Detection Mechanism in Edge-Based IoT Deployment,Sumit Pundir   Mohammad Wazid   Devesh Pratap Singh   Ashok Kumar Das   Joel J. P. C. Rodrigues   Youngho Park,/pmc/articles/PMC7085610/
State-of-the-Art Internet of Things in Protected Agriculture,Xiaojie Shi   Xingshuang An   Qingxue Zhao   Huimin Liu   Lianming Xia   Xia Sun   Yemin Guo,/pmc/articles/PMC6514985/
A Review on Internet of Things for Defense and Public Safety,Paula Fraga-Lamas   Tiago M. Fernández-Caramés   Manuel Suárez-Albela   Luis Castedo   Miguel González-López,/pmc/articles/PMC5087432/
Internet of Things: A Review of Surveys Based on Context Aware Intelligent Services,David Gil   Antonio Ferrández   Higinio Mora-Mora   Jesús Peral,/pmc/articles/PMC4970116/
Addressing the Security Gap in IoT: Towards an IoT Cyber Range,Oliver Nock   Jonathan Starkey   Constantinos Marios Angelopoulos,/pmc/articles/PMC7570597/
Power Efficient Random Access for Massive NB-IoT Connectivity,Mamta Agiwal   Mukesh Kumar Maheshwari   Hu Jin,/pmc/articles/PMC6891788/
Addressing Conceptual Randomness in IoT-Driven Business Ecosystem Research †,Fabien Rezac,/pmc/articles/PMC7602545/
Hardware Security of Fog End-Devices for the Internet of Things,Ismail Butun   Alparslan Sari   Patrik Österberg,/pmc/articles/PMC7601476/
A Novel Petri Nets-Based Modeling Method for the Interaction between the Sensor and the Geographic Environment in Emerging Sensor Networks,Feng Zhang   Yuetong Xu   Jarong Chou,/pmc/articles/PMC5087360/
Low Power Wide Area Network   Cognitive Radio and the Internet of Things: Potentials for Integration,Adeiza J. Onumanyi   Adnan M. Abu-Mahfouz   Gerhard P. Hancke,/pmc/articles/PMC7730835/
Prediction-Based Energy Saving Mechanism in 3GPP NB-IoT Networks,Jinseong Lee   Jaiyong Lee,/pmc/articles/PMC5620600/
Towards Secure and Privacy-Preserving IoT Enabled Smart Home: Architecture and Experimental Study,Mamun Abu-Tair   Soufiene Djahel   Philip Perry   Bryan Scotney   Unsub Zia   Jorge Martinez Carracedo   Ali Sajjad,/pmc/articles/PMC7662378/
IoT Solution for Smart Cities’ Pollution Monitoring and the Security Challenges,Cristian Toma   Andrei Alexandru   Marius Popa   Alin Zamfiroiu,/pmc/articles/PMC6696184/
Design and Implementation of High-Availability Architecture for IoT-Cloud Services,Hyunsik Yang   Younghan Kim,/pmc/articles/PMC6696229/
Edge Computing   IoT and Social Computing in Smart Energy Scenarios,Inés Sittón-Candanedo   Ricardo S. Alonso   Óscar García   Lilia Muñoz   Sara Rodríguez-González,/pmc/articles/PMC6695591/
Tracking the Evolution of the Internet of Things Concept Across Different Application Domains,Jorge E. Ibarra-Esquer   Félix F. González-Navarro   Brenda L. Flores-Rios   Larysa Burtseva   María A. Astorga-Vargas,/pmc/articles/PMC5492403/
Performance Analysis of IoT-Based Sensor   Big Data Processing   and Machine Learning Model for Real-Time Monitoring System in Automotive Manufacturing,Muhammad Syafrudin   Ganjar Alfian   Norma Latif Fitriyani   Jongtae Rhee,/pmc/articles/PMC6164307/
An Edge-Fog-Cloud Architecture of Streaming Analytics for Internet of Things Applications,Hung Cao   Monica Wachowicz,/pmc/articles/PMC6720178/
Internet-of-Things Skills Among the General Population: Task-Based Performance Test Using Activity Trackers,Pia S de Boer   Alexander J A M van Deursen   Thomas J L van Rompay,/pmc/articles/PMC7710448/
Resistance of IoT Sensors against DDoS Attack in Smart Home Environment,Ladislav Huraj   Marek Šimon   Tibor Horák,/pmc/articles/PMC7570978/
On the Evaluation of the NB-IoT Random Access Procedure in Monitoring Infrastructures,Sergio Martiradonna   Giuseppe Piro   Gennaro Boggia,/pmc/articles/PMC6679516/
NovaGenesis Applied to Information-Centric   Service-Defined   Trustable IoT/WSAN Control Plane and Spectrum Management,Antônio Marcos Alberti   Marília Martins Bontempo   José Rodrigo dos Santos   Arismar Cerqueira Sodré   Jr.   Rodrigo da Rosa Righi,/pmc/articles/PMC6165571/
MicroServices Suite for Smart City Applications,Claudio Badii   Pierfrancesco Bellini   Angelo Difino   Paolo Nesi   Gianni Pantaleo   Michela Paolucci,/pmc/articles/PMC6864587/
Clock Frequency Impact on the Performance of High-Security Cryptographic Cipher Suites for Energy-Efficient Resource-Constrained IoT Devices ,Manuel Suárez-Albela   Paula Fraga-Lamas   Luis Castedo   Tiago M. Fernández-Caramés,/pmc/articles/PMC6338922/
Review and Evaluation of MAC Protocols for Satellite IoT Systems Using Nanosatellites,Tomás Ferrer   Sandra Céspedes   Alex Becerra,/pmc/articles/PMC6515444/
Rapidly Deployable IoT Architecture with Data Security: Implementation and Experimental Evaluation,Sudip Maitra   Kumar Yelamarthi,/pmc/articles/PMC6603729/
Fostering Environmental Awareness with Smart IoT Planters in Campuses,Bernardo Tabuenca   Vicente García-Alcántara   Carlos Gilarranz-Casado   Samuel Barrado-Aguirre,/pmc/articles/PMC7218862/
BeiDou Satellite Positioning Method Based on IoT and Edge Computing,Lina Wang   Rui Qiu,/pmc/articles/PMC7039293/
Optimal User Association Strategy for Large-Scale IoT Sensor Networks with Mobility on Cloud RANs,Taewoon Kim   Chanjun Chun   Wooyeol Choi,/pmc/articles/PMC6832922/
Multi-Layer Blockchain-Based Security Architecture for Internet of Things,Houshyar Honar Pajooh   Mohammad Rashid   Fakhrul Alam   Serge Demidenko,/pmc/articles/PMC7865640/
Designing Laboratory for IoT Communication Infrastructure Environment for Remote Maritime Surveillance in Equatorial Areas Based on the Gulf of Guinea Field Experiences,Ranko Petrovic   Dejan Simic   Dejan Drajic   Zoran Cica   Dejan Nikolic   Miroslav Peric,/pmc/articles/PMC7085672/
MinT: Middleware for Cooperative Interaction of Things,Soobin Jeon   Inbum Jung,/pmc/articles/PMC5492261/
IoT-Based Strawberry Disease Prediction System for Smart Farming,Sehan Kim   Meonghun Lee   Changsun Shin,/pmc/articles/PMC6263482/
Open IoT Ecosystem for Enhanced Interoperability in Smart Cities—Example of Métropole De Lyon,Jérémy Robert   Sylvain Kubler   Niklas Kolbe   Alessandro Cerioni   Emmanuel Gastaud   Kary Främling,/pmc/articles/PMC5751623/
A Survey on Energy Conserving Mechanisms for the Internet of Things: Wireless Networking Aspects,Zeeshan Abbas   Wonyong Yoon,/pmc/articles/PMC4634437/
Device-Based Security to Improve User Privacy in the Internet of Things ,Luis Alberto Belem Pacheco   Eduardo Adilio Pelinson Alchieri   Priscila América Solís Mendez Barreto,/pmc/articles/PMC6111884/
A Web Service Protocol Realizing Interoperable Internet of Things Tasking Capability,Chih-Yuan Huang   Cheng-Hung Wu,/pmc/articles/PMC5038673/
Wireless Positioning in IoT: A Look at Current and Future Trends,Pedro Figueiredo e Silva   Ville Kaseva   Elena Simona Lohan,/pmc/articles/PMC6111536/
Distributed Data Service for Data Management in Internet of Things Middleware,Ruben Cruz Huacarpuma   Rafael Timoteo de Sousa Junior   Maristela Terto de Holanda   Robson de Oliveira Albuquerque   Luis Javier García Villalba   Tai-Hoon Kim,/pmc/articles/PMC5464689/
